Gene Name	Reference	Strand	Start	End
ABL1	chr9	+	133589268	133763062
ABL2	chr1	-	179068462	179198819
BAALC	chr8	+	104152921	104242533
BCR	chr22	+	23522552	23660224
CBFB	chr16	+	67063050	67134958
CCND1	chr11	+	69455873	69469242
CCND2	chr12	+	4382902	4414522
CCND3	chr6	-	41902671	42016632
CRBN	chr3	-	3191317	3221401
CRLF2	chrX	-	1314894	1331616
CSF1R	chr5	-	149432854	149492935
DEK	chr6	-	18224400	18264799
ETV6	chr12	+	11802788	12048325
FGFR1	chr8	-	38268656	38326352
FGFR3	chr4	+	1795039	1810599
FIP1L1	chr4	+	54243820	54326103
FUS	chr16	+	31191431	31206192
GATA2	chr3	-	128198265	128212030
GUSB	chr7	-	65425672	65447301
HBS1L	chr6	-	135281517	135376036
HPRT1	chrX	+	133594175	133634698
IGH	chr14	+	106053276	106994002
IL2RB	chr22	-	37521880	37571158
IL3	chr5	+	131396347	131398896
JAK2	chr9	+	4985086	5128183
KMT2A	chr11	+	118307205	118397539
MAF	chr16	-	79627745	79634622
MAFA	chr8	-	144510230	144512602
MAFB	chr20	-	39314488	39317880
MECOM	chr3	-	168801287	169381563
MKL1	chr22	-	40806285	41032723
MLF1	chr3	+	158288953	158324249
MLLT3	chr9	-	20341663	20622542
MYH11	chr16	-	15796992	15950887
NSD2	chr4	+	1873123	1983934
NUP214	chr9	+	134000948	134110057
NUP98	chr11	-	3696240	3819022
PBX1	chr1	+	164528597	164855284
PCM1	chr8	+	17780366	17887457
PDGFRA	chr4	+	55095256	55164414
PDGFRB	chr5	-	149493402	149535422
PHB	chr17	-	47481410	47492267
PHB2	chr12	-	7074515	7079916
PML	chr15	+	74287014	74340155
RARA	chr17	+	38465423	38513895
RBM15	chr1	+	110881945	110889303
RUNX1	chr21	-	36160098	36421595
RUNX1T1	chr8	-	92967195	93115454
SDHA	chr5	+	218338	257197
TBP	chr6	+	170863421	170881958
TCF3	chr19	-	1609283	1652328
TYK2	chr19	-	10461204	10491248
WT1	chr11	-	32409322	32457081
