chr	start	end	gene	strand	exon	transcript_ID
chr1	36068868	36068975	PSMB2	-	5	NM_001199780
chr1	36070834	36070883	PSMB2	-	4	NM_001199780
chr1	36074847	36074943	PSMB2	-	3	NM_001199780
chr1	36068868	36068975	PSMB2	-	6	NM_001199779
chr1	36070834	36070883	PSMB2	-	5	NM_001199779
chr1	36074847	36075009	PSMB2	-	4	NM_001199779
chr1	36096875	36096945	PSMB2	-	3	NM_001199779
chr1	36101911	36102033	PSMB2	-	2	NM_001199779
chr1	36107018	36107033	PSMB2	-	1	NM_001199779
chr1	36068868	36068975	PSMB2	-	6	NM_002794
chr1	36070834	36070883	PSMB2	-	5	NM_002794
chr1	36074847	36075009	PSMB2	-	4	NM_002794
chr1	36096875	36096945	PSMB2	-	3	NM_002794
chr1	36101911	36102033	PSMB2	-	2	NM_002794
chr1	36106943	36107033	PSMB2	-	1	NM_002794
chr1	110882028	110884890	RBM15	+	1	NM_001201545
chr1	110888930	110888976	RBM15	+	2	NM_001201545
chr1	110882028	110884890	RBM15	+	1	NM_022768
chr1	110888161	110888231	RBM15	+	2	NM_022768
chr1	147083636	147083688	BCL9	+	4	NM_004326
chr1	147084682	147084998	BCL9	+	5	NM_004326
chr1	147086226	147086415	BCL9	+	6	NM_004326
chr1	147087603	147087702	BCL9	+	7	NM_004326
chr1	147090622	147092863	BCL9	+	8	NM_004326
chr1	147094072	147094332	BCL9	+	9	NM_004326
chr1	147095643	147096760	BCL9	+	10	NM_004326
chr1	156437437	156437448	MEF2D	-	12	NM_005920
chr1	156437785	156438091	MEF2D	-	11	NM_005920
chr1	156438572	156438812	MEF2D	-	10	NM_005920
chr1	156444900	156445029	MEF2D	-	9	NM_005920
chr1	156446286	156446306	MEF2D	-	8	NM_005920
chr1	156446804	156446994	MEF2D	-	7	NM_005920
chr1	156449082	156449138	MEF2D	-	6	NM_005920
chr1	156449378	156449588	MEF2D	-	5	NM_005920
chr1	156450626	156450763	MEF2D	-	4	NM_005920
chr1	156452229	156452432	MEF2D	-	3	NM_005920
chr1	156453031	156453084	MEF2D	-	2	NM_005920
chr1	156437437	156437448	MEF2D	-	11	NM_001271629
chr1	156437785	156438091	MEF2D	-	10	NM_001271629
chr1	156438572	156438812	MEF2D	-	9	NM_001271629
chr1	156444900	156445029	MEF2D	-	8	NM_001271629
chr1	156446804	156446994	MEF2D	-	7	NM_001271629
chr1	156449082	156449138	MEF2D	-	6	NM_001271629
chr1	156449378	156449588	MEF2D	-	5	NM_001271629
chr1	156450626	156450763	MEF2D	-	4	NM_001271629
chr1	156452229	156452432	MEF2D	-	3	NM_001271629
chr1	156453031	156453084	MEF2D	-	2	NM_001271629
chr1	164529060	164529250	PBX1	+	1	NM_001204961
chr1	164532475	164532548	PBX1	+	2	NM_001204961
chr1	164761731	164761975	PBX1	+	3	NM_001204961
chr1	164768936	164769126	PBX1	+	4	NM_001204961
chr1	164776779	164776914	PBX1	+	5	NM_001204961
chr1	164781227	164781386	PBX1	+	6	NM_001204961
chr1	164790774	164790820	PBX1	+	7	NM_001204961
chr1	164529060	164529250	PBX1	+	1	NM_001204963
chr1	164532475	164532548	PBX1	+	2	NM_001204963
chr1	164761731	164761975	PBX1	+	3	NM_001204963
chr1	164768936	164769126	PBX1	+	4	NM_001204963
chr1	164776779	164776914	PBX1	+	5	NM_001204963
chr1	164781227	164781386	PBX1	+	6	NM_001204963
chr1	164789309	164789421	PBX1	+	7	NM_001204963
chr1	164790774	164790863	PBX1	+	8	NM_001204963
chr1	164818577	164818639	PBX1	+	9	NM_001204963
chr1	164529060	164529250	PBX1	+	1	NM_001353131
chr1	164532475	164532548	PBX1	+	2	NM_001353131
chr1	164761731	164761975	PBX1	+	3	NM_001353131
chr1	164768936	164769126	PBX1	+	4	NM_001353131
chr1	164776779	164776914	PBX1	+	5	NM_001353131
chr1	164781227	164781386	PBX1	+	6	NM_001353131
chr1	164790774	164790820	PBX1	+	7	NM_001353131
chr1	164529235	164529250	PBX1	+	1	NM_001353130
chr1	164761731	164761975	PBX1	+	2	NM_001353130
chr1	164768936	164769126	PBX1	+	3	NM_001353130
chr1	164776779	164776914	PBX1	+	4	NM_001353130
chr1	164781227	164781386	PBX1	+	5	NM_001353130
chr1	164789309	164789421	PBX1	+	6	NM_001353130
chr1	164790774	164790863	PBX1	+	7	NM_001353130
chr1	164815821	164815913	PBX1	+	8	NM_001353130
chr1	164529060	164529250	PBX1	+	1	NM_002585
chr1	164532475	164532548	PBX1	+	2	NM_002585
chr1	164761731	164761975	PBX1	+	3	NM_002585
chr1	164768936	164769126	PBX1	+	4	NM_002585
chr1	164776779	164776914	PBX1	+	5	NM_002585
chr1	164781227	164781386	PBX1	+	6	NM_002585
chr1	164789309	164789421	PBX1	+	7	NM_002585
chr1	164790774	164790863	PBX1	+	8	NM_002585
